Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Mature,A,Overripe,R80,M_CA_OR_80,3D,114.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow,1.0,5.0,4.0,4.5,,9.0,3.0,1.0,5.0,2.0,Green,More Brown than Green w/ Yellow Orange along Suture Lines,2.69,2.2,18.22,,54.6,62.7,21.0,0.23,0.11,0.23,0.19,10.78,9.75,9.43,9.99,32.0,33.0,30.5,31.83,0.0,3.0
Mature,A,Overripe,R81,M_CA_OR_81,6D,114.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow,1.0,4.0,1.0,4.5,,9.0,3.0,1.0,4.0,1.0,Green,More Brown than Green w/ Yellow Orange Suture Line/Base (Cracked),2.53,2.08,17.79,,51.3,61.7,20.0,0.26,0.0,0.31,0.19,7.78,6.68,7.45,7.3,33.0,34.5,33.0,33.5,0.0,6.0
Mature,A,Overripe,R82,M_CA_OR_82,5D,114.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow,1.0,5.0,2.0,5.0,,8.0,3.0,1.0,5.0,1.0,Green,More Brown than Green w/ Yellow Orange at Suture Lines,2.76,2.11,23.55,,54.0,61.9,23.55,0.27,0.41,0.21,0.3,7.75,8.35,8.73,8.28,34.5,33.5,34.5,34.17,0.0,5.0
Mature,A,Overripe,R83,M_CA_OR_83,5D,113.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow Orange,1.0,4.0,5.0,5.0,,9.0,3.0,1.0,4.0,1.0,Green,"More Green than Brown, w/ Yellow along Suture Line (Cracked)",2.6,2.15,17.31,,54.3,61.2,21.3,0.0,0.21,0.0,0.07,7.08,6.83,8.45,7.45,37.5,37.0,37.5,37.33,0.0,5.0
Mature,A,Overripe,R84,M_CA_OR_84,5D,114.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow Orange,1.0,5.0,5.0,5.0,,8.0,4.0,1.0,5.0,1.0,Green,More Green than Brown,2.81,2.2,21.71,,52.4,66.5,20.0,0.0,0.11,0.0,0.04,6.3,7.55,7.05,6.97,35.5,36.5,35.0,35.67,0.0,5.0
Mature,B,Unripe,R85,M_CB_UN_85,5D,114.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,,1.0,7.0,,1.0,,1.0,Green,,4.36,,,,61.9,77.9,26.85,5.32,5.25,4.78,5.12,6.08,4.68,5.7,5.49,34.5,34.5,36.5,35.17,0.0,5.0
Mature,B,Unripe,R86,M_CB_UN_86,6D,114.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,3.0,1.0,8.0,,1.0,,1.0,Green,,1.95,,,,50.7,57.5,21.25,8.56,9.46,12.34,10.12,4.95,4.55,4.93,4.81,32.0,31.5,31.0,31.5,0.0,6.0
Mature,B,Unripe,R87,M_CB_UN_87,6D,110.0,Unripe,2025-09-18,,,,,"(1-2) = Light Yellow, (3) = Bright Yellow",1.0,,1.0,3.5,1.0,7.0,,1.0,,1.0,More Green Than Brown,,3.44,,,,59.7,71.6,25.35,,,,,4.28,4.53,4.25,4.35,,,,,0.0,6.0
Mature,B,Unripe,R88,M_CB_UN_88,6D,110.0,Unripe,2025-09-18,,,,,(1-3) = Creamy White,1.0,,1.0,3.5,1.0,9.0,,1.0,,1.0,More Green Than Brown,,1.45,,,,47.6,52.2,12.65,9.03,6.19,6.43,7.22,4.78,5.73,4.25,4.92,33.0,33.5,31.5,32.67,0.0,6.0
Mature,B,Unripe,R89,M_CB_UN_89,5D,114.0,Unripe,2025-09-18,,,,,"(1) = Light Yellow, (2-3) = Yellow",1.0,,1.0,,1.0,8.0,,1.0,,1.0,Green,,2.89,,,,59.3,63.9,25.0,0.69,0.99,0.89,0.85,6.93,6.08,6.48,6.5,37.5,38.0,37.0,37.5,0.0,5.0
Mature,B,Unripe,R90,M_CB_UN_90,2D,111.0,Unripe,2025-09-18,,,,,(1-3) = Yellow,3.0,,1.0,3.0,1.0,9.0,,2.0,,1.0,More Green Than Brown,,2.13,,,,52.7,60.6,19.85,,,,,6.98,7.18,6.73,6.96,37.5,37.0,37.0,37.17,0.0,2.0
Mature,B,Unripe,R91,M_CB_UN_91,3D,114.0,Unripe,2025-09-18,,,,,(1-3) = Yellow,1.0,,1.0,,1.0,7.0,,1.0,,1.0,Green,,3.5,,,,63.4,68.5,25.3,,,,,,,,,,,,,0.0,3.0
Mature,B,Ripe,R92,M_CB_RI_92,4D,114.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,4.0,5.0,,1.0,7.0,6.0,1.0,4.0,1.0,Green,Brown w/ Light Yellow Sutures,2.06,,,,48.5,60.5,20.1,0.11,0.21,0.25,0.19,9.05,8.95,9.45,9.15,39.5,38.5,42.0,40.0,0.0,4.0
Mature,B,Ripe,R93,M_CB_RI_93,5D,114.0,Overripe,2025-09-18,,,,9.0,Yellow,1.0,5.0,1.0,,,8.0,3.0,1.0,5.0,1.0,More Green Than Brown,More Green than Brown,1.84,1.59,13.59,21.17,51.6,56.8,15.0,0.7,0.29,0.19,0.39,8.13,8.03,7.5,7.89,38.5,33.5,34.0,35.33,0.0,5.0
Mature,B,Ripe,R94,M_CB_RI_94,5D,113.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,2.0,3.0,1.0,9.0,7.0,1.0,2.0,1.0,Green,More Green than Brown,2.2,2.01,8.64,9.34,53.0,56.3,18.7,0.57,0.88,0.47,0.64,8.23,9.6,9.45,9.09,34.0,34.5,34.0,34.17,0.0,5.0
Mature,B,Ripe,R95,M_CB_RI_95,6D,110.0,Ripe,2025-09-18,,5.0,,,"Yellow (1-2), Yellow Orange (3)",1.0,,,,,9.0,,1.0,,,More Green Than Brown,,1.71,,,,48.3,55.0,,0.26,0.4,0.43,0.36,7.68,8.0,8.23,7.97,37.0,40.5,35.5,37.67,0.0,6.0
